Zip,Countie,Vaccine Equity Metric Quartile,Mr,16+ Population,Persons Fully Vaccinated,Persons Partially Vaccinated,Percent of Population Fully Vaccinated,Percent of Population Partially Vaccinated,Percent of Population with 1+ Dose,Redacted
94602,Alameda,3,Healthy Places Index Score,24701,11917,5062,0.482450098,0.204930976,0.687381089,No
94611,Alameda,4,Healthy Places Index Score,32707,17136,8026,0.52392453,0.245390892,0.769315422,No
94501,Alameda,4,Healthy Places Index Score,52265,23433,11258,0.448349744,0.215402275,0.663752019,No
94704,Alameda,2,Healthy Places Index Score,29013,6016,3909,0.20735532,0.134732708,0.342088044,No
94536,Alameda,4,Healthy Places Index Score,59180,19829,13856,0.335062534,0.234133154,0.569195688,No
94578,Alameda,2,Healthy Places Index Score,33230,11019,5330,0.331597954,0.160397232,0.491995186,No
94608,Alameda,3,Healthy Places Index Score,27673,10043,5682,0.362916917,0.205326498,0.568243384,No
94610,Alameda,4,Healthy Places Index Score,27763,12447,5865,0.448330522,0.211252391,0.659582913,No
94603,Alameda,1,Healthy Places Index Score,26706,7342,3824,0.27491948,0.143188789,0.418108284,No
94586,Alameda,4,CDPH-Derived ZCTA Score,711,399,163,0.561181426,0.229254574,0.790436029,No
94539,Alameda,4,Healthy Places Index Score,43573,16468,13701,0.377940476,0.314437836,0.692378283,No
94601,Alameda,1,Healthy Places Index Score,41341,14491,7017,0.35052368,0.169734642,0.520258367,No
94710,Alameda,4,Healthy Places Index Score,6545,3045,1799,0.465240628,0.274866313,0.74010694,No
94541,Alameda,2,Healthy Places Index Score,52807,17830,9906,0.337644637,0.187588766,0.525233388,No
94580,Alameda,3,Healthy Places Index Score,24809,10000,4400,0.40307954,0.177354991,0.580434501,No
94609,Alameda,3,Healthy Places Index Score,20541,7796,4213,0.379533619,0.205101997,0.584635615,No
94568,Alameda,4,Healthy Places Index Score,42252,16867,13256,0.399200052,0.313736618,0.71293664,No
94538,Alameda,4,Healthy Places Index Score,55654,16667,13387,0.299475342,0.240539759,0.540015101,No
94544,Alameda,2,Healthy Places Index Score,63279,20688,11821,0.326933116,0.186807632,0.513740718,No
94612,Alameda,2,Healthy Places Index Score,14740,6343,3308,0.430325657,0.224423334,0.654748976,No
94550,Alameda,4,Healthy Places Index Score,40189,15172,8362,0.37751624,0.208066881,0.585583091,No
94552,Alameda,4,Healthy Places Index Score,12106,5928,2872,0.489674538,0.237237737,0.72691226,No
94607,Alameda,2,Healthy Places Index Score,23143,9117,4034,0.393941998,0.17430757,0.568249583,No
94618,Alameda,4,Healthy Places Index Score,14227,7293,3462,0.512616873,0.243340135,0.755957007,No
94551,Alameda,4,Healthy Places Index Score,36464,10203,6602,0.27981022,0.181055292,0.460865498,No
94545,Alameda,3,Healthy Places Index Score,27083,11030,5565,0.407266557,0.205479458,0.612746,No
94546,Alameda,4,Healthy Places Index Score,36039,15714,7732,0.436027646,0.214545354,0.650573015,No
94502,Alameda,4,Healthy Places Index Score,11654,6269,2751,0.537926912,0.236056283,0.773983181,No
94587,Alameda,3,Healthy Places Index Score,61998,23690,12945,0.382109106,0.208797053,0.590906143,No
94588,Alameda,4,Healthy Places Index Score,28870,10705,6941,0.370800138,0.240422577,0.611222744,No
